,season,id,name,position,team,conference,countablePlays,averagePPA.all,averagePPA.pass,averagePPA.rush,averagePPA.firstDown,averagePPA.secondDown,averagePPA.thirdDown,averagePPA.standardDowns,averagePPA.passingDowns,totalPPA.all,totalPPA.pass,totalPPA.rush,totalPPA.firstDown,totalPPA.secondDown,totalPPA.thirdDown,totalPPA.standardDowns,totalPPA.passingDowns
588,2015,3923397,Ryquell Armstead,RB,Temple,American Athletic,50,-0.082,-0.273,-0.066,-0.29,0.176,0.131,-0.146,0.121,-4.111,-1.091,-3.02,-7.841,2.813,0.917,-5.566,1.455
1281,2015,3126281,Justin Hobbs,WR,Tulsa,American Athletic,50,0.859,0.852,0.966,0.561,0.945,1.048,0.618,1.12,42.949,40.051,2.898,8.979,15.113,18.857,16.074,26.876
1558,2016,3919104,Kerrith Whyte Jr.,RB,Florida Atlantic,Conference USA,50,-0.155,-0.1,-0.167,-0.249,-0.124,0.053,-0.22,0.077,-7.746,-0.898,-6.847,-5.719,-2.354,0.374,-8.589,0.843
1580,2016,3125361,LaJuan Hunt,RB,Utah State,Mountain West,50,-0.114,0.008,-0.144,-0.286,-0.027,-0.273,-0.246,0.121,-5.692,0.082,-5.774,-6.001,-0.572,-1.912,-7.873,2.181
1582,2016,4034837,Tre Bryant,RB,Nebraska,Big Ten,50,-0.112,0.044,-0.141,-0.011,-0.325,-0.53,-0.096,-0.228,-5.58,0.352,-5.931,-0.296,-4.551,-3.182,-4.214,-1.365
2179,2016,4039300,D'Eriq King,QB,Houston,American Athletic,50,0.309,0.438,-0.022,0.139,0.287,0.64,0.323,0.271,15.469,15.776,-0.307,3.627,4.312,4.481,11.948,3.521
2275,2016,3124114,Cortez Lewis,WR,Wake Forest,ACC,50,0.374,0.374,NA,0.498,0.49,-0.005,0.366,0.382,18.72,18.72,NA,8.969,9.807,-0.056,8.416,10.304
2392,2016,3917580,Keenan Barnes,WR,Louisiana,Sun Belt,50,0.463,0.463,NA,0.381,0.111,1.444,0.184,0.882,23.169,23.169,NA,8.381,1.333,18.771,5.52,17.649
2579,2016,3123674,Shaedon Meadors,WR,Appalachian State,Sun Belt,50,0.631,0.631,NA,0.83,0.372,1.031,0.509,0.916,31.56,31.56,NA,19.914,4.83,10.306,17.823,13.737
2671,2016,3123935,Adonis Jennings,WR,Temple,American Athletic,50,0.761,0.765,0.736,0.452,0.969,0.777,0.697,0.857,38.065,32.912,5.153,9.042,15.502,10.105,20.92,17.145
2723,2016,559613,D.J. Chark,WR,LSU,SEC,50,0.842,0.769,1.137,0.708,0.844,1.022,0.592,1.074,42.123,30.756,11.367,13.461,14.351,14.311,14.208,27.916
3287,2017,3125837,Blake Banham,RB,Eastern Michigan,Mid-American,50,-0.062,0.326,-0.213,-0.185,-0.145,0.199,-0.29,0.166,-3.109,4.561,-7.67,-3.143,-2.758,2.792,-7.253,4.144
3591,2017,3915459,James Gilbert,RB,Ball State,Mid-American,50,0.084,0.835,0.036,-0.003,0.07,0.444,0.034,0.394,4.202,2.506,1.696,-0.088,1.182,3.107,1.446,2.756
3667,2017,4034837,Tre Bryant,RB,Nebraska,Big Ten,50,0.113,-0.863,0.133,0.085,0.12,0.337,0.131,0.028,5.635,-0.863,6.498,2.973,1.316,1.346,5.381,0.254
3696,2017,4035460,Zerrick Cooper,QB,Clemson,ACC,50,0.124,0.083,0.378,0.177,0.212,-0.037,0.095,0.159,6.216,3.573,2.643,3.37,3.396,-0.551,2.555,3.661
3720,2017,4243830,Jaelon Darden,WR,North Texas,Conference USA,50,0.135,0.174,-0.795,-0.008,0.142,0.425,-0.043,0.551,6.763,8.354,-1.591,-0.18,2.265,4.679,-1.499,8.262
3882,2017,3138760,Ventell Bryant,WR,Temple,American Athletic,50,0.193,0.193,NA,0.018,0.024,0.568,0.086,0.318,9.643,9.643,NA,0.275,0.471,7.381,2.319,7.325
4007,2017,3125465,Emanuel Thompson,WR,Troy,Sun Belt,50,0.239,0.239,NA,-0.077,0.483,0.721,0.131,0.4,11.935,11.935,NA,-1.537,7.727,8.654,3.943,7.992
4132,2017,4054085,Dezmon Patmon,WR,Washington State,Pac-12,50,0.285,0.285,NA,0.034,0.291,0.436,0.1,0.646,14.263,14.263,NA,0.54,6.408,3.922,3.285,10.978
4437,2017,4030390,Ky'Jon Tyler,WR,Coastal Carolina,Sun Belt,50,0.426,0.425,0.427,-0.157,0.441,1.38,0.282,0.581,21.28,16.585,4.695,-2.663,10.144,13.799,7.34,13.94
4729,2017,550683,Brendan Cope,WR,Ohio,Mid-American,50,0.581,0.605,-0.603,0.553,0.281,1.164,0.481,0.795,29.066,29.669,-0.603,14.376,4.21,10.48,16.352,12.714
4900,2017,3914366,Rhashid Bonnette,WR,Louisiana Tech,Conference USA,50,0.707,0.733,0.08,0.271,1.025,1.187,0.673,0.759,35.35,35.189,0.16,5.69,16.394,13.059,20.179,15.17
4914,2017,3122877,Raelon Singleton,WR,Utah,Pac-12,50,0.72,0.743,0.163,0.572,0.859,0.621,0.522,0.972,35.99,35.663,0.326,9.158,20.624,6.208,14.606,21.384
4967,2017,4040655,Darnell Mooney,WR,Tulane,American Athletic,50,0.772,0.772,NA,0.828,0.696,0.773,0.922,0.582,38.61,38.61,NA,19.045,11.835,7.731,25.817,12.793
5105,2017,4241723,Damion Willis,WR,Troy,Sun Belt,50,0.945,0.945,NA,0.955,0.178,1.895,0.92,0.985,47.239,47.239,NA,21.961,2.669,17.058,28.523,18.716
5718,2018,4239821,Lucious Stanley,RB,UAB,Conference USA,50,-0.102,-0.49,-0.049,-0.094,0.037,0.225,-0.181,0.214,-5.109,-2.937,-2.171,-2.645,0.592,1.127,-7.251,2.142
5830,2018,4039326,Willie Parker,RB,Eastern Michigan,Mid-American,50,-0.016,0.368,-0.032,-0.064,0.083,-0.077,-0.062,0.115,-0.78,0.737,-1.516,-1.729,1.411,-0.462,-2.28,1.501
5941,2018,4360447,Isaiah Floyd,RB,Arizona State,Pac-12,50,0.037,0.291,0.008,0.023,0.193,-0.419,0.001,0.226,1.836,1.457,0.379,0.656,3.275,-2.094,0.032,1.804
5946,2018,4241414,J.D. King,RB,Oklahoma State,Big 12,50,0.039,1.222,-0.153,-0.087,-0.066,0.225,-0.029,0.313,1.966,8.555,-6.589,-2.34,-1.196,0.676,-1.168,3.135
5961,2018,4239975,Taven Birdow,FB,Air Force,Mountain West,50,0.046,0.165,0.041,-0.08,-0.227,0.846,0.072,-0.188,2.29,0.33,1.959,-2.07,-3.175,6.768,3.227,-0.938
6073,2018,4361797,Amare Jones,RB,Tulane,American Athletic,50,0.095,0.327,0.044,0.064,-0.076,0.787,0.014,0.208,4.761,2.939,1.823,1.147,-1.893,5.508,0.398,4.364
6478,2018,3918324,James Price,WR,Wyoming,Mountain West,50,0.252,0.276,-0.334,-0.116,0.414,0.855,0.239,0.269,12.579,13.247,-0.667,-2.542,8.282,6.839,6.927,5.652
