,season,id,name,position,team,conference,countablePlays,averagePPA.all,averagePPA.pass,averagePPA.rush,averagePPA.firstDown,averagePPA.secondDown,averagePPA.thirdDown,averagePPA.standardDowns,averagePPA.passingDowns,totalPPA.all,totalPPA.pass,totalPPA.rush,totalPPA.firstDown,totalPPA.secondDown,totalPPA.thirdDown,totalPPA.standardDowns,totalPPA.passingDowns
9088,2019,4055171,Anthony Gordon,QB,Washington State,Pac-12,720,0.286,0.305,-0.106,0.21,0.298,0.466,0.259,0.361,205.977,209.472,-3.495,71.873,71.617,56.422,136.247,69.73
913,2015,550629,Luke Falk,QB,Washington State,Pac-12,708,0.263,0.284,-0.041,0.007,0.309,0.548,0.156,0.462,186.006,187.886,-1.88,1.903,75.629,79.397,71.779,114.227
6594,2018,4038524,Gardner Minshew,QB,Washington State,Pac-12,701,0.299,0.29,0.43,0.099,0.361,0.506,0.203,0.51,209.546,190.206,19.34,28.505,89.137,74.375,97.426,112.12
8840,2019,3675812,Bryce Perkins,QB,Virginia,ACC,701,0.19,0.182,0.211,0.041,0.082,0.576,0.188,0.193,132.977,94.763,38.215,12.226,18.778,95.575,86.505,46.472
2123,2016,550629,Luke Falk,QB,Washington State,Pac-12,685,0.271,0.285,0.017,0.059,0.37,0.479,0.155,0.488,185.374,184.754,0.62,16.607,87.969,68.501,69.2,116.174
253,2014,552097,Anu Solomon,QB,Arizona,Pac-12,664,0.211,0.215,0.19,0.071,0.209,0.368,0.167,0.273,140.378,121.933,18.445,16.617,51.979,61.768,63.8,76.578
2281,2016,3916387,Lamar Jackson,QB,Louisville,ACC,649,0.377,0.293,0.558,0.305,0.234,0.736,0.333,0.464,244.535,130.093,114.442,93.56,46.013,97.949,143.879,100.656
4463,2017,3916387,Lamar Jackson,QB,Louisville,ACC,642,0.441,0.356,0.629,0.338,0.266,0.819,0.369,0.574,283.268,157.551,125.717,94.415,53.214,116.357,153.471,129.797
9759,2019,3915511,Joe Burrow,QB,LSU,SEC,623,0.626,0.638,0.549,0.594,0.573,0.863,0.532,0.848,390.296,347.49,42.806,187.791,104.328,103.612,232.655,157.641
3926,2017,3124981,Tyler Rogers,QB,New Mexico State,FBS Independents,618,0.209,0.208,0.219,-0.018,0.15,0.772,0.011,0.48,128.936,117.968,10.968,-4.833,29.778,111.895,4.082,124.854
4119,2017,3116379,Justice Hansen,QB,Arkansas State,Sun Belt,607,0.28,0.263,0.368,0.185,0.305,0.619,0.258,0.326,170.216,134.114,36.102,48.012,62.427,82.954,104.386,65.831
6661,2018,4038220,Cole McDonald,QB,Hawai'i,Mountain West,602,0.326,0.345,0.227,0.225,0.281,0.487,0.284,0.397,196.166,174.38,21.786,54.908,56.257,62.279,107.668,88.498
9269,2019,4241820,Sam Ehlinger,QB,Texas,Big 12,602,0.364,0.352,0.413,0.229,0.268,0.808,0.193,0.651,219.341,167.719,51.622,56.476,49.646,128.425,72.78,146.561
4075,2017,549804,Mike White,QB,Western Kentucky,Conference USA,599,0.263,0.26,0.344,0.094,0.193,0.656,0.077,0.527,157.579,150.008,7.571,20.967,39.662,102.964,26.928,130.651
9179,2019,4038220,Cole McDonald,QB,Hawai'i,Mountain West,599,0.323,0.311,0.399,0.169,0.338,0.676,0.288,0.402,193.605,160.873,32.732,47.686,61.453,77.014,120.009,73.596
6753,2018,3122424,Taylor Cornelius,QB,Oklahoma State,Big 12,594,0.364,0.332,0.55,0.104,0.292,0.755,0.214,0.621,216.419,167.45,48.969,25.896,53.764,110.915,80.403,136.016
6880,2018,4040616,Dwayne Haskins,QB,Ohio State,Big Ten,593,0.429,0.47,0.047,0.258,0.386,0.727,0.286,0.666,254.41,251.711,2.699,59.854,79.875,106.895,105.98,148.43
3567,2017,3917792,Daniel Jones,QB,Duke,ACC,590,0.078,0.003,0.341,-0.043,0.152,0.22,0.026,0.159,46.075,1.411,44.664,-10.622,26.128,33.587,9.453,36.622
1898,2016,3116188,David Blough,QB,Purdue,Big Ten,589,0.142,0.11,0.475,-0.183,0.015,0.693,-0.05,0.407,83.881,59.169,24.711,-39.999,2.946,110.112,-16.963,100.844
3861,2017,550629,Luke Falk,QB,Washington State,Pac-12,588,0.187,0.187,0.202,0.016,0.029,0.714,0.06,0.408,110.1,104.444,5.656,3.656,5.88,102.052,22.485,87.615
4089,2017,4039073,Mason Fine,QB,North Texas,Conference USA,588,0.268,0.295,0.075,0.05,0.293,0.568,0.158,0.463,157.711,152.302,5.41,12.666,53.673,77.311,59.495,98.217
4209,2017,3116172,Trace McSorley,QB,Penn State,Big Ten,581,0.318,0.335,0.251,0.085,0.262,0.801,0.11,0.668,184.533,154.416,30.117,19.907,53.237,104.972,40.328,144.205
6759,2018,4241820,Sam Ehlinger,QB,Texas,Big 12,577,0.366,0.349,0.422,0.102,0.379,0.675,0.27,0.541,211.403,153.965,57.438,24.139,64.105,106.676,100.524,110.88
860,2015,530478,Thomas Sirk,QB,Duke,ACC,576,0.201,0.214,0.165,0.066,0.099,0.476,0.087,0.375,116.019,92.086,23.934,13.916,19.28,75.274,30.115,85.904
3995,2017,3728240,Kelly Bryant,QB,Clemson,ACC,568,0.233,0.209,0.29,-0.02,0.156,0.628,0.199,0.297,132.078,84.818,47.26,-3.989,32.096,99.841,74.662,57.416
2038,2016,545624,J.T. Barrett,QB,Ohio State,Big Ten,565,0.223,0.186,0.307,0.159,0.108,0.503,0.095,0.417,126.014,73.455,52.559,33.726,21.679,71.926,32.243,93.771
2009,2016,3116144,Clayton Thorson,QB,Northwestern,Big Ten,563,0.204,0.191,0.324,0.02,0.098,0.514,0.114,0.336,115.086,96.965,18.121,4.297,16.502,79.616,38.086,77
2127,2016,4040715,Jalen Hurts,QB,Alabama,SEC,559,0.276,0.249,0.338,0.093,0.311,0.521,0.161,0.481,154.11,98.271,55.839,22.336,54.345,71.962,57.519,96.591
6363,2018,545683,Brent Stockstill,QB,Middle Tennessee,Conference USA,559,0.203,0.205,0.187,-0.072,0.323,0.478,0.093,0.358,113.304,98.515,14.789,-14.379,66.516,64.521,30.529,82.775
9705,2019,4040715,Jalen Hurts,QB,Oklahoma,Big 12,559,0.593,0.635,0.519,0.349,0.648,0.895,0.502,0.775,331.744,227.931,103.813,81.975,124.47,110.03,186.778,144.966
3596,2017,545645,Kurt Benkert,QB,Virginia,ACC,557,0.086,0.087,0.064,-0.131,0.093,0.414,-0.027,0.265,47.635,45.331,2.304,-27.574,16.998,60.463,-9.392,57.028
2153,2016,549865,Kenny Hill,QB,TCU,Big 12,555,0.292,0.216,0.639,0.162,0.135,0.688,0.233,0.388,161.853,98.634,63.219,36.297,25.089,94.962,80.042,81.811
6182,2018,3116144,Clayton Thorson,QB,Northwestern,Big Ten,553,0.141,0.118,0.418,-0.087,0.259,0.437,0.02,0.325,77.717,60.563,17.154,-18.246,45.36,64.251,6.577,71.14
9186,2019,4361741,Brock Purdy,QB,Iowa State,Big 12,547,0.325,0.351,0.157,0.314,0.384,0.358,0.281,0.398,177.828,166.363,11.465,69.965,67.927,48.357,96.157,81.671
2143,2016,558337,Nick Fitzgerald,QB,Mississippi State,SEC,545,0.285,0.145,0.584,0.193,0.217,0.568,0.244,0.355,155.371,53.796,101.575,40.246,37.935,81.153,83.561,71.81
9072,2019,4241399,Chris Robison,QB,Florida Atlantic,Conference USA,543,0.28,0.328,-0.089,0.091,0.289,0.628,0.128,0.484,152.068,157.608,-5.539,21.316,47.045,84.097,39.879,112.189
6274,2018,4045290,Peyton Ramsey,QB,Indiana,Big Ten,542,0.174,0.148,0.317,-0.017,0.191,0.41,0.089,0.325,94.2,67.918,26.282,-3.376,36.804,54.101,30.757,63.443
8849,2019,4036378,Jordan Love,QB,Utah State,Mountain West,542,0.192,0.192,0.199,0.117,0.082,0.535,0.114,0.293,104.223,92.499,11.723,23.907,16.261,72.278,34.792,69.43
8687,2019,4240703,Kenny Pickett,QB,Pittsburgh,ACC,541,0.135,0.131,0.167,0.023,0.092,0.324,0.058,0.246,72.876,62.708,10.168,5.114,14.95,47.896,18.691,54.184
6501,2018,3675812,Bryce Perkins,QB,Virginia,ACC,540,0.258,0.254,0.266,0.158,0.005,0.863,0.22,0.336,139.294,93.805,45.489,35.459,1.013,102.746,79.543,59.752
3978,2017,3123047,Malik Rosier,QB,Miami,ACC,537,0.228,0.205,0.323,0.084,0.255,0.412,0.098,0.413,122.351,89.385,32.966,19.357,43.024,54.412,30.987,91.364
4240,2017,3139591,Quinton Flowers,QB,South Florida,American Athletic,537,0.333,0.326,0.348,0.156,0.294,0.686,0.211,0.491,178.901,118.043,60.858,31.54,58.849,90.591,64.074,114.827
5994,2018,4039470,Marcus Childers,QB,Northern Illinois,Mid-American,537,0.063,-0.014,0.281,-0.163,0.15,0.267,-0.101,0.32,34.084,-5.584,39.668,-34.062,25.585,39.809,-33.14,67.223
6539,2018,4240904,Kellen Mond,QB,Texas A&M,SEC,537,0.276,0.246,0.397,0.076,0.413,0.367,0.152,0.431,148.014,105.98,42.034,15.803,80.441,46.199,45.464,102.55
4126,2017,545364,Nic Shimonek,QB,Texas Tech,Big 12,536,0.283,0.291,0.164,0.19,0.143,0.688,0.212,0.4,151.883,146.476,5.406,41.88,25.787,86.666,70.348,81.535
4302,2017,3912547,Sam Darnold,QB,USC,Pac-12,536,0.36,0.365,0.305,0.182,0.471,0.538,0.277,0.467,193.133,179.705,13.428,35.977,93.265,65.678,83.742,109.391
9241,2019,4039034,Shane Buechele,QB,SMU,American Athletic,536,0.35,0.371,0.134,0.26,0.239,0.579,0.265,0.45,187.526,181.098,6.428,51.037,41.516,85.677,77.252,110.274
4067,2017,3128814,Manny Wilkins,QB,Arizona State,Pac-12,535,0.261,0.259,0.273,0,0.184,0.657,0.14,0.452,139.827,112.759,27.068,-0.003,31.22,101.174,45.901,93.926
6087,2018,4362340,Woody Barrett,QB,Kent State,Mid-American,535,0.097,-0.024,0.539,-0.139,0.027,0.445,-0.056,0.322,51.757,-10.2,61.957,-30.136,4.327,62.741,-17.843,69.6
1036,2015,545683,Brent Stockstill,QB,Middle Tennessee,Conference USA,534,0.393,0.398,0.329,0.169,0.401,0.618,0.225,0.615,209.77,195.644,14.127,32.365,76.538,87.184,68.431,141.34
4622,2017,3116407,Mason Rudolph,QB,Oklahoma State,Big 12,533,0.519,0.508,0.648,0.36,0.485,0.891,0.388,0.757,276.515,250.583,25.932,85.735,82.461,101.541,133.442,143.073
9098,2019,4360131,Holton Ahlers,QB,East Carolina,American Athletic,533,0.291,0.308,0.2,0.183,0.231,0.521,0.205,0.389,154.911,137.282,17.629,37.975,39.277,79.164,58.707,96.204
9104,2019,4039910,Kaleb Barker,QB,Troy,Sun Belt,532,0.296,0.31,0.181,0.199,0.139,0.586,0.248,0.388,157.492,147.165,10.326,42.491,24.817,75.001,86.845,70.647
4251,2017,546288,Ryan Finley,QB,NC State,ACC,531,0.338,0.319,0.519,0.096,0.35,0.701,0.246,0.464,179.557,153.084,26.472,19.364,59.113,103.76,75.545,104.011
8878,2019,3929824,Brian Lewerke,QB,Michigan State,Big Ten,531,0.204,0.178,0.33,0.059,0.143,0.397,0.126,0.305,108.192,78.862,29.33,12.032,23.312,62.383,37.759,70.434
9019,2019,4037213,Jamie Newman,QB,Wake Forest,ACC,530,0.26,0.322,0.107,0.07,0.112,0.73,0.133,0.473,137.643,121.191,16.453,14.432,18.854,105.168,44.424,93.219
3748,2017,3116144,Clayton Thorson,QB,Northwestern,Big Ten,528,0.144,0.094,0.553,0.029,0.063,0.343,0.129,0.167,75.939,44.423,31.516,6.115,9.001,49.424,42.201,33.738
6255,2018,3914382,J'Mar Smith,QB,Louisiana Tech,Conference USA,528,0.169,0.167,0.182,-0.016,0.095,0.401,0.092,0.262,89.019,78.627,10.392,-3.177,16.09,58.578,26.663,62.356
4167,2017,3929824,Brian Lewerke,QB,Michigan State,Big Ten,527,0.302,0.255,0.504,0.145,0.238,0.563,0.198,0.444,159.389,109.015,50.374,26.364,41.935,88.367,60.016,99.373
1058,2015,550373,Baker Mayfield,QB,Oklahoma,Big 12,524,0.413,0.425,0.361,0.413,0.304,0.618,0.405,0.427,216.365,179.895,36.47,86.382,57.495,72.302,136.953,79.412
9059,2019,4240904,Kellen Mond,QB,Texas A&M,SEC,524,0.273,0.221,0.52,0.107,0.397,0.375,0.215,0.361,143.105,95.301,47.803,23.435,73.838,43.457,67.964,75.141
8517,2019,4241635,Josh Adkins,QB,New Mexico State,FBS Independents,523,0.067,0.06,0.118,-0.061,-0.096,0.405,0.012,0.144,35.236,27.329,7.907,-12.826,-15.786,53.431,3.77,31.466
2224,2016,3116172,Trace McSorley,QB,Penn State,Big Ten,522,0.338,0.409,0.1,0.2,0.481,0.388,0.191,0.543,176.319,164.191,12.128,40.758,89.949,47.328,57.993,118.326
6612,2018,4039073,Mason Fine,QB,North Texas,Conference USA,522,0.307,0.338,-0.013,0.206,0.285,0.569,0.168,0.531,160.172,160.774,-0.601,47.239,46.667,68.28,54.069,106.103
4052,2017,3914382,J'Mar Smith,QB,Louisiana Tech,Conference USA,520,0.257,0.233,0.361,0.07,0.203,0.562,0.205,0.322,133.404,99.115,34.289,13.922,35.975,75.293,59.949,73.455
6567,2018,3116188,David Blough,QB,Purdue,Big Ten,520,0.288,0.264,0.516,0.269,0.211,0.427,0.17,0.445,149.511,124.738,24.773,55.453,37.543,53.422,50.656,98.855
3896,2017,3916447,Eric Dungey,QB,Syracuse,ACC,519,0.2,0.133,0.437,0.027,0.07,0.661,0.055,0.454,103.847,53.988,49.86,5.429,12.37,84.001,18.119,85.728
2039,2016,3917792,Daniel Jones,QB,Duke,ACC,518,0.224,0.177,0.435,-0.008,0.247,0.548,0.167,0.327,116.068,75.198,40.87,-1.547,40.826,76.717,55.657,60.411
3811,2017,3858269,Ross Bowers,QB,California,Pac-12,518,0.166,0.162,0.238,-0.061,0.183,0.43,-0.026,0.383,85.924,79.272,6.652,-11.659,30.499,65.005,-7.07,92.994
6298,2018,3116172,Trace McSorley,QB,Penn State,Big Ten,517,0.18,0.09,0.424,0.121,0.153,0.343,0.16,0.214,93.128,33.813,59.315,27.279,24.713,42.834,52.416,40.712
3822,2017,546706,Shane Morris,QB,Central Michigan,Mid-American,516,0.17,0.175,0.131,-0.075,0.258,0.328,0.092,0.272,87.837,80.089,7.747,-14.25,44.152,46.915,26.943,60.894
4362,2017,545624,J.T. Barrett,QB,Ohio State,Big Ten,516,0.383,0.367,0.426,0.274,0.398,0.532,0.336,0.491,197.712,138.015,59.696,60.551,66.828,61.718,120.63,77.082
971,2015,3886377,Josh Rosen,QB,UCLA,Pac-12,515,0.324,0.323,0.348,0.066,0.314,0.695,0.15,0.567,166.731,158.376,8.355,13.409,52.989,95.227,44.885,121.846
6475,2018,4239134,David Pindell,QB,Connecticut,American Athletic,515,0.251,0.162,0.418,0.126,0.14,0.63,0.26,0.238,129.443,54.116,75.327,22.794,24.04,90.711,79.443,50
2295,2016,3116407,Mason Rudolph,QB,Oklahoma State,Big 12,514,0.389,0.39,0.385,0.277,0.334,0.672,0.309,0.514,200.19,180.954,19.236,59.229,55.735,82.624,96.342,103.848
9096,2019,4241222,Charlie Brewer,QB,Baylor,Big 12,514,0.29,0.275,0.347,0.229,0.303,0.395,0.173,0.457,149.282,110.743,38.539,48.342,51.786,49.8,52.295,96.987
9150,2019,4036585,Caleb Evans,QB,Louisiana Monroe,Sun Belt,512,0.312,0.234,0.556,0.154,0.225,0.628,0.217,0.468,159.935,90.481,69.453,32.098,31.932,87.268,69.162,90.773
4154,2017,3916208,Ben Hicks,QB,SMU,American Athletic,510,0.295,0.285,0.423,0.222,0.093,0.578,0.161,0.463,150.292,135.895,14.397,40.106,16.013,83.867,46.012,104.281
4454,2017,546539,Riley Ferguson,QB,Memphis,American Athletic,510,0.437,0.433,0.486,0.193,0.579,0.696,0.265,0.699,222.751,207.193,15.558,40.078,97.193,86.948,81.466,141.285
6696,2018,4241222,Charlie Brewer,QB,Baylor,Big 12,510,0.338,0.327,0.385,0.125,0.373,0.629,0.242,0.473,172.582,135.226,37.357,27.561,60.379,73,71.747,100.836
2268,2016,546539,Riley Ferguson,QB,Memphis,American Athletic,506,0.37,0.376,0.296,0.221,0.315,0.583,0.282,0.524,187.363,176.7,10.663,45.118,48.549,78.086,90.887,96.476
1955,2016,3915468,Riley Neal,QB,Ball State,Mid-American,505,0.175,0.133,0.333,0.015,0.223,0.414,0.077,0.333,88.389,53.399,34.99,2.778,37.689,55.539,24.07,64.319
3952,2017,4037603,Josh Jackson,QB,Virginia Tech,ACC,505,0.218,0.221,0.204,0.093,0.15,0.472,0.138,0.331,110.032,89.846,20.186,16.394,22.792,74.167,41.12,68.912
9078,2019,4374350,Asher O'Hara,QB,Middle Tennessee,Conference USA,505,0.281,0.29,0.263,0.169,0.393,0.271,0.232,0.371,141.867,98.813,43.053,35.904,66.358,30.884,75.856,66.011
4415,2017,3124092,John Wolford,QB,Wake Forest,ACC,504,0.415,0.437,0.347,0.282,0.448,0.607,0.328,0.58,209.079,165.692,43.387,68.2,64.571,66.137,108.716,100.364
4109,2017,3915436,Steven Montez,QB,Colorado,Pac-12,503,0.277,0.272,0.295,0.192,0.257,0.399,0.218,0.358,139.201,110.625,28.576,39.521,41.556,49.424,63.66,75.541
9283,2019,4426875,Sam Howell,QB,North Carolina,ACC,502,0.369,0.397,0.146,0.241,0.245,0.695,0.219,0.575,185.132,176.795,8.337,50.371,37.198,89.699,63.863,121.268
4446,2017,546267,Nick Stevens,QB,Colorado State,Mountain West,501,0.429,0.428,0.434,0.145,0.509,0.797,0.243,0.672,214.826,197.448,17.378,28.137,78.835,111.579,68.955,145.871
6515,2018,4036585,Caleb Evans,QB,Louisiana Monroe,Sun Belt,499,0.262,0.189,0.51,0.159,0.188,0.631,0.263,0.261,130.838,72.733,58.104,33.321,28.989,78.185,80.75,50.087
7353,2018,3917315,Kyler Murray,QB,Oklahoma,Big 12,499,0.725,0.718,0.746,0.532,0.758,1.052,0.636,0.901,361.705,273.686,88.019,113.833,134.876,100.959,210.385,151.32
869,2015,545796,Tanner Mangum,QB,BYU,FBS Independents,498,0.208,0.223,0.002,0,0.131,0.571,0.121,0.345,103.509,103.436,0.073,-0.101,22.089,62.8,36.943,66.566
3786,2017,3125813,Hayden Moore,QB,Cincinnati,American Athletic,498,0.157,0.142,0.246,0.016,0.153,0.271,0.054,0.301,78.332,60.393,17.94,3.148,24.025,35.535,15.697,62.635
9235,2019,3921685,Josh Love,QB,San José State,Mountain West,497,0.347,0.354,0.01,0.26,0.415,0.517,0.215,0.564,172.297,172.182,0.114,56.205,62.306,63.643,66.346,105.95
6487,2018,3915511,Joe Burrow,QB,LSU,SEC,496,0.254,0.219,0.407,0.264,0.181,0.266,0.291,0.211,125.919,88.432,37.487,49.599,28.951,38.061,77.916,48.002
8535,2019,3917793,Quentin Harris,QB,Duke,ACC,496,0.079,0.069,0.11,-0.089,0.059,0.266,0.02,0.164,39.246,25.636,13.61,-18.349,8.288,35.37,6.024,33.222
9221,2019,4046678,Ian Book,QB,Notre Dame,FBS Independents,496,0.342,0.344,0.334,0.27,0.272,0.537,0.244,0.499,169.871,138.8,31.071,52.461,43.221,68.741,74.129,95.742
6335,2018,558337,Nick Fitzgerald,QB,Mississippi State,SEC,495,0.192,0.083,0.362,0.056,0.116,0.559,0.159,0.254,94.912,25.087,69.824,11.59,17.162,71.015,51.514,43.398
8896,2019,4035409,Zach Smith,QB,Tulsa,American Athletic,494,0.212,0.231,-0.033,0.113,0.029,0.577,0.089,0.333,104.568,105.794,-1.226,19.762,4.475,86.59,21.892,82.675
4171,2017,3886377,Josh Rosen,QB,UCLA,Pac-12,493,0.303,0.303,0.311,0.213,0.308,0.457,0.249,0.393,149.519,141.437,8.082,49.464,44.701,49.83,76.098,73.421
2257,2016,3921561,Deondre Francois,QB,Florida State,ACC,491,0.364,0.332,0.55,0.112,0.415,0.712,0.254,0.521,178.729,139.144,39.585,23.044,65.636,88.983,73.444,105.285
4789,2017,550373,Baker Mayfield,QB,Oklahoma,Big 12,491,0.618,0.651,0.426,0.525,0.72,0.668,0.549,0.759,303.38,272.265,31.116,99.778,134.725,69.48,181.203,122.178
6630,2018,3128814,Manny Wilkins,QB,Arizona State,Pac-12,490,0.314,0.312,0.322,0.149,0.247,0.652,0.307,0.326,154.013,123.435,30.577,28.331,40.506,82.843,90.48,63.532
4258,2017,549865,Kenny Hill,QB,TCU,Big 12,489,0.342,0.365,0.222,0.26,0.175,0.735,0.189,0.589,167.1,149.597,17.502,52.505,27.068,94.138,57.027,110.072
9252,2019,4259127,Mike Glass III,QB,Eastern Michigan,Mid-American,489,0.355,0.371,0.291,0.214,0.453,0.488,0.255,0.534,173.456,144.359,29.097,43.446,69.329,58.506,80.034,93.422
9437,2019,4360310,Trevor Lawrence,QB,Clemson,ACC,489,0.456,0.396,0.75,0.339,0.518,0.524,0.389,0.569,222.761,161.248,61.514,68.793,89.013,57.624,119.725,103.036
1953,2016,546876,Troy Williams,QB,Utah,Pac-12,487,0.174,0.187,0.108,0.043,0.261,0.248,0.035,0.357,84.764,76.007,8.756,7.713,43.078,34.274,9.799,74.964
6333,2018,3917792,Daniel Jones,QB,Duke,ACC,486,0.192,0.168,0.333,-0.084,0.233,0.617,0.097,0.348,93.39,69.75,23.64,-16.804,35.908,75.857,29.362,64.028
6770,2018,3722362,Brett Rypien,QB,Boise State,Mountain West,484,0.371,0.391,0.197,0.213,0.215,0.665,0.239,0.554,179.336,169.507,9.829,36.181,34.002,95.79,67.466,111.87
1012,2015,3116407,Mason Rudolph,QB,Oklahoma State,Big 12,483,0.365,0.407,-0.136,0.026,0.369,0.795,0.082,0.712,176.327,181.349,-5.022,4.948,61.31,96.938,21.929,154.398
6605,2018,3916447,Eric Dungey,QB,Syracuse,ACC,481,0.304,0.279,0.371,0.22,0.165,0.647,0.239,0.425,145.993,97.824,48.169,41.994,29.592,66.624,75.406,70.586
4695,2017,4042113,McKenzie Milton,QB,UCF,American Athletic,480,0.557,0.556,0.559,0.43,0.567,0.839,0.503,0.654,267.156,217.991,49.165,87.675,93.569,88.957,155.918,111.239
6859,2018,3127332,Marcus McMaryion,QB,Fresno State,Mountain West,480,0.42,0.374,0.76,0.278,0.436,0.596,0.391,0.466,201.579,158.27,43.309,47.895,72.877,80.517,114.93,86.648
9325,2019,4038941,Justin Herbert,QB,Oregon,Pac-12,480,0.389,0.383,0.461,0.222,0.492,0.571,0.266,0.565,186.515,170.834,15.681,38.896,81.72,73.128,75.142,111.374
1877,2016,3124981,Tyler Rogers,QB,New Mexico State,FBS Independents,479,0.132,0.055,0.481,-0.095,0.247,0.346,0.018,0.296,63.097,21.742,41.355,-19.035,37.792,39.076,5.058,58.038
6440,2018,3915436,Steven Montez,QB,Colorado,Pac-12,478,0.229,0.196,0.442,0.063,0.254,0.428,0.113,0.361,109.321,81.038,28.284,11.043,42.149,55.172,28.906,80.415
6458,2018,3122611,Ty Gangi,QB,Nevada,Mountain West,477,0.239,0.234,0.297,-0.019,0.318,0.578,0.116,0.422,114.153,103.163,10.99,-3.788,48.314,65.292,33.076,81.077
6794,2018,4242418,Jordan Ta'amu,QB,Ole Miss,SEC,475,0.386,0.406,0.29,0.361,0.308,0.461,0.308,0.539,183.503,160.008,23.496,80.88,45.306,44.289,96.266,87.237
6797,2018,546288,Ryan Finley,QB,NC State,ACC,475,0.389,0.408,0.107,0.224,0.393,0.605,0.273,0.574,184.575,181.358,3.217,40.048,62.428,78.624,80.103,104.472
6807,2018,3924327,Drew Lock,QB,Missouri,SEC,475,0.392,0.398,0.333,0.208,0.439,0.609,0.267,0.595,186.321,172.022,14.299,37.973,64.077,83.383,78.549,107.772
2037,2016,3924327,Drew Lock,QB,Missouri,SEC,474,0.223,0.208,0.382,0.21,0.125,0.38,0.291,0.127,105.634,90.353,15.281,43.731,16.361,47.828,80.801,24.832
9543,2019,4362887,Justin Fields,QB,Ohio State,Big Ten,474,0.503,0.511,0.472,0.377,0.387,1.009,0.368,0.747,238.358,191.117,47.241,76.627,64.961,96.864,112.191,126.166
6545,2018,4361182,Adrian Martinez,QB,Nebraska,Big Ten,473,0.278,0.196,0.531,0.184,0.314,0.459,0.221,0.393,131.489,69.951,61.538,37.882,48.991,44.493,69.731,61.758
8992,2019,4367178,Dorian Thompson-Robinson,QB,UCLA,Pac-12,473,0.25,0.219,0.392,0.058,0.146,0.733,0.086,0.489,118.145,85.247,32.898,11.91,20.057,87.956,24.191,93.954
9260,2019,4244068,Dustin Crum,QB,Kent State,Mid-American,473,0.358,0.295,0.527,0.161,0.15,0.873,0.177,0.69,169.286,101.876,67.41,34.09,21.21,98.694,54.078,115.208
2083,2016,546687,Richard Lagow,QB,Indiana,Big Ten,472,0.246,0.256,-0.041,0.015,0.359,0.526,-0.034,0.57,116.277,116.899,-0.622,2.451,54.224,73.592,-8.477,124.754
2307,2016,3918298,Josh Allen,QB,Wyoming,Mountain West,472,0.398,0.326,0.677,0.306,0.159,0.685,0.371,0.426,187.786,122.101,65.684,44.109,25.976,105.529,89.477,98.308
1976,2016,3125353,Kent Myers,QB,Utah State,Mountain West,470,0.188,0.135,0.407,0.001,0.02,0.585,0.092,0.314,88.42,50.942,37.478,0.126,2.859,83.702,24.352,64.069
2360,2016,3139591,Quinton Flowers,QB,South Florida,American Athletic,469,0.443,0.309,0.692,0.401,0.19,0.682,0.417,0.497,207.68,94.139,113.541,79.437,26.755,82.508,132.137,75.543
4122,2017,4036585,Caleb Evans,QB,Louisiana Monroe,Sun Belt,469,0.281,0.277,0.291,0.021,0.483,0.54,0.182,0.431,131.737,96.832,34.905,3.883,72.481,66.935,51.478,80.259
6658,2018,4038941,Justin Herbert,QB,Oregon,Pac-12,469,0.324,0.294,0.573,0.053,0.335,0.579,0.116,0.579,151.844,123.194,28.65,7.746,53.615,83.926,30.155,121.689
1957,2016,4039034,Shane Buechele,QB,Texas,Big 12,468,0.177,0.179,0.162,0.145,0.269,0.19,0.219,0.107,82.732,71.533,11.198,26.238,44.699,21.105,63.825,18.906
2101,2016,3916447,Eric Dungey,QB,Syracuse,ACC,468,0.26,0.286,0.164,0.038,0.136,0.681,0.156,0.439,121.525,105.075,16.45,6.697,20.65,83.753,46.045,75.48
6027,2018,4241635,Josh Adkins,QB,New Mexico State,FBS Independents,468,0.077,0.101,-0.091,-0.129,0.083,0.5,-0.121,0.342,35.975,41.409,-5.434,-24.595,12.188,58.533,-32.454,68.429
9254,2019,4040407,Jack Abraham,QB,Southern Mississippi,Conference USA,468,0.356,0.352,0.382,-0.055,0.404,0.724,0.162,0.567,166.481,143.942,22.539,-7.725,75.217,96.352,39.468,127.013
9328,2019,4244688,Nathan Rourke,QB,Ohio,Mid-American,468,0.39,0.306,0.617,0.283,0.406,0.668,0.368,0.423,182.498,104.178,78.32,58.349,60.896,71.515,105.016,77.482
320,2014,545624,J.T. Barrett,QB,Ohio State,Big Ten,467,0.368,0.307,0.508,0.122,0.346,0.921,0.204,0.717,171.744,99.624,72.12,25.637,47.059,103.185,64.838,106.906
4019,2017,4035671,Tyler Huntley,QB,Utah,Pac-12,467,0.245,0.26,0.207,0.047,0.431,0.23,0.132,0.434,114.231,86.524,27.708,8.927,72.814,23.186,38.688,75.543
9109,2019,3916726,Jon Wassink,QB,Western Michigan,Mid-American,466,0.297,0.272,0.512,0.153,0.13,0.732,0.155,0.498,138.465,113.364,25.101,27.221,18.93,92.17,42.369,96.096
9463,2019,3893630,Brady White,QB,Memphis,American Athletic,466,0.469,0.482,0.276,0.179,0.527,0.81,0.258,0.769,218.367,209.824,8.543,31.708,79.551,100.477,70.709,147.658
