"","season","id","name","position","team","conference","usage.overall","usage.pass","usage.rush","usage.firstDown","usage.secondDown","usage.thirdDown","usage.standardDowns","usage.passingDowns"
"43",2014,"3128843","Alex McGough","QB","Florida International","Conference USA",0.4539,0.8628,0.1723,0.3787,0.4260,0.6670,0.3830,0.5740
"44",2014,"546145","Brandon Silvers","QB","Troy","Sun Belt",0.4471,0.7589,0.1862,0.4576,0.4020,0.5300,0.4260,0.4870
"45",2014,"545624","J.T. Barrett","QB","Ohio State","Big Ten",0.4344,0.7720,0.2215,0.4154,0.3950,0.5830,0.4050,0.5140
"46",2014,"548447","Taylor Lamb","QB","Appalachian State","Sun Belt",0.4272,0.8605,0.1363,0.3333,0.4380,0.6380,0.3420,0.6110
"47",2014,"3129453","Jarvion Franklin","RB","Western Michigan","Mid-American",0.3681,0.0503,0.6202,0.4190,0.4060,0.2090,0.4320,0.2210
"48",2014,"545910","Logan Woodside","QB","Toledo","Mid-American",0.3393,0.7097,0.0771,0.2772,0.3270,0.5270,0.2970,0.4540
"49",2014,"536444","Leon Allen","RB","Western Kentucky","Conference USA",0.3299,0.1020,0.6658,0.3974,0.3140,0.1990,0.3920,0.1800
"50",2014,"551028","Lamar Jordan","QB","New Mexico","Mountain West",0.3147,0.7355,0.2000,0.2771,0.2910,0.4550,0.2590,0.4340
"51",2014,"549984","Ralph Webb","RB","Vanderbilt","SEC",0.3040,0.0471,0.5850,0.4338,0.2610,0.1370,0.3820,0.1450
"52",2014,"3116136","Justin Jackson","RB","Northwestern","Big Ten",0.2860,0.0545,0.5350,0.3806,0.2950,0.1310,0.3320,0.1880
"53",2014,"550629","Luke Falk","QB","Washington State","Pac-12",0.2687,0.3198,0.0846,0.2455,0.2660,0.3240,0.2560,0.2960
"54",2014,"3128720","Nick Chubb","RB","Georgia","SEC",0.2684,0.0574,0.4107,0.2786,0.3050,0.1940,0.2830,0.2310
"55",2014,"546005","Jack Milas","QB","Ball State","Mid-American",0.2651,0.5049,0.0472,0.2077,0.2780,0.3980,0.2310,0.3420
"56",2014,"3122672","Royce Freeman","RB","Oregon","Pac-12",0.2390,0.0381,0.4133,0.2538,0.2570,0.1900,0.2670,0.1660
