Rk,Player,Year,Class,School,G,Kick Ret,Kick Ret Yds,Kick Ret Avg,Kick Ret TD
618,Micaleous Elder,2019,FR,UNC Charlotte,8,9,166,18.4,0
619,Craig Elmore,2019,FR,Kent State,6,1,16,16,0
620,Travis Etienne,2019,JR,Clemson,13,3,82,27.3,0
621,Demetric Felton,2019,JR,UCLA,12,13,338,26,1
622,Ishod Finger,2019,FR,UNC Charlotte,11,3,56,18.7,0
623,Tony Gaiter IV,2019,SR,Florida International,12,2,22,11,0
624,Ryan Gilmartin,2019,JR,Connecticut,5,1,16,16,0
625,Jonathan Haden,2019,SR,UAB,12,4,66,16.5,0
626,Isaiah Hamilton,2019,FR,San Jose State,11,3,48,16,0
627,James Harris Jr.,2019,FR,Bowling Green State,2,2,39,19.5,0
628,Jerry Howard,2019,JR,Georgia Tech,10,1,17,17,0
629,Stephon Huderson,2019,JR,Tulane,10,6,219,36.5,1
630,Martell Irby,2019,SO,UCLA,4,1,14,14,0
631,Amare Jones,2019,SO,Tulane,12,31,670,21.6,0
632,Lopini Katoa,2019,SO,Brigham Young,11,8,207,25.9,0
633,Isaiah Kaufusi,2019,JR,Brigham Young,12,1,0,0,0
634,Jordan Kerley,2019,FR,Arizona State,6,2,23,11.5,0
635,Adrian Killins,2019,SR,UCF,12,11,206,18.7,0
636,Garland LaFrance,2019,SO,Western Kentucky,10,18,325,18.1,0
637,Kobe Lewis,2019,SO,Central Michigan,13,15,359,23.9,0
638,Theo Majette,2019,SR,Kent State,9,1,0,0,0
639,Austin Maloney,2019,SR,Florida International,11,13,269,20.7,0
640,Michael Matus,2019,FR,Arizona State,2,1,0,0,0
641,Napoleon Maxwell,2019,SR,Florida International,12,6,109,18.2,0
642,Aaron McAllister,2019,JR,UNC Charlotte,10,5,105,21,0
643,Jalen McCleskey,2019,SR,Tulane,12,1,20,20,0
644,Dax Milne,2019,SO,Brigham Young,10,2,32,16,0
645,Cedric Mitchell,2019,SO,Bowling Green State,6,3,41,13.7,0
646,Myron Mitchell,2019,JR,UAB,13,19,403,21.2,1
647,Ryan Montgomery,2019,FR,Cincinnati,11,1,14,14,0
648,Joseph Ngata,2019,FR,Clemson,12,14,325,23.2,0
649,Josh Nurse,2019,SR,Utah,11,1,0,0,0
650,Tobias Oliver,2019,SO,Georgia Tech,12,14,297,21.2,0
651,Tito Overton,2019,JR,Buffalo,2,2,42,21,0
652,Jamal Parker,2019,SR,Kent State,12,27,719,26.6,1
653,Jaret Patterson,2019,SO,Buffalo,12,1,16,16,0
654,Ricky Pearsall,2019,FR,Arizona State,6,1,28,28,0
655,Jalen Preston,2019,SO,Texas A&M,5,4,68,17,0
656,Kavious Price,2019,SR,Kent State,11,6,97,16.2,0
657,Kairee Robinson,2019,FR,San Jose State,8,1,11,11,0
658,Jo-El Shaw,2019,SR,Kent State,7,2,22,11,0
659,Jah'Marae Sheread,2019,FR,Texas State,7,16,354,22.1,0
660,Quayvon Skanes,2019,JR,Connecticut,8,1,16,16,0
661,Jacquez Sloan,2019,JR,Western Kentucky,12,11,213,19.4,0
662,Rodney Smith,2019,SR,Minnesota,12,6,135,22.5,0
663,Juanyeh Thomas,2019,SO,Georgia Tech,12,7,149,21.3,0
