"","year","school","talent"
"1036",2019,"Incarnate Word","47.36"
"1037",2019,"Abilene Christian","46.84"
"1038",2019,"Missouri State","44.24"
"1039",2019,"Jackson State","44.19"
"1040",2019,"North Alabama","43.90"
"1041",2019,"North Carolina Central","43.62"
"1042",2019,"South Dakota","42.81"
"1043",2019,"Prairie View","42.01"
"1044",2019,"Lamar","41.39"
"1045",2019,"Tennessee Tech","41.07"
"1046",2019,"Albany","40.43"
"1047",2019,"Texas Southern","40.03"
"1048",2019,"Idaho State","39.63"
"1049",2019,"Central Arkansas","38.51"
"1050",2019,"Fordham","38.15"
"1051",2019,"Northern Iowa","37.29"
"1052",2019,"Southern Utah","35.09"
"1053",2019,"Northern Arizona","35.00"
"1054",2019,"South Carolina State","32.50"
"1055",2019,"Charleston Southern","32.36"
"1056",2019,"Portland State","30.88"
"1057",2019,"Maine","30.23"
"1058",2019,"Alcorn State","29.54"
"1059",2019,"Arkansas-Pine Bluff","29.07"
"1060",2019,"Cal Poly","28.91"
"1061",2019,"Princeton","27.29"
"1062",2019,"Robert Morris","26.82"
"1063",2019,"Houston Baptist","26.80"
"1064",2019,"Eastern Illinois","24.67"
"1065",2019,"Indiana State","24.51"
"1066",2019,"Furman","24.31"
"1067",2019,"Morgan State","23.32"
"1068",2019,"Elon","18.77"
"1069",2019,"Sacramento State","18.35"
"1070",2019,"Wagner","17.91"
"1071",2019,"Jacksonville","17.49"
"1072",2019,"South Dakota State","17.26"
"1073",2019,"Monmouth","15.76"
"1074",2019,"Rhode Island","15.55"
"1075",2019,"Delaware State","15.41"
"1076",2019,"Sacred Heart","15.08"
"1077",2019,"Eastern Washington","14.80"
"1078",2019,"Gardner-Webb","14.72"
"1079",2019,"Lehigh","13.90"
"1080",2019,"Alabama A&M","13.54"
"1081",2019,"Northern Colorado","13.41"
"1082",2019,"North Dakota","13.24"
"1083",2019,"St Francis (PA)","13.03"
"1084",2019,"Mercer","12.14"
"1085",2019,"Butler","11.61"
"1086",2019,"Drake","11.10"
"1087",2019,"Brown","9.44"
"1088",2019,"Central Connecticut","8.93"
"1089",2019,"Western Carolina","8.58"
"1090",2019,"Wofford","7.83"
"1091",2019,"Holy Cross","7.31"
"1092",2019,"Mississippi Valley State","6.66"
"1093",2019,"Georgetown","6.66"
"1094",2019,"Bryant","6.30"
